,Top_positvely_correlated,Top_negatively_correlated
HSPB7,"['DES', 'TAGLN', 'ACTG2', 'MYL9', 'MYH11', 'CSRP1', 'MYLK', 'TPM2', 'CNN1', 'SYNPO2', 'TPM1', 'FLNA', 'ACTA2', 'TNC', 'CHRDL2', 'PLN', 'CALD1', 'PPP1R12B', 'SYNM', 'SMTN', 'CRYAB', 'PRUNE2', 'SORBS1', 'TNS1', 'KCNMA1', 'LMOD1', 'SPARCL1', 'COL6A2', 'HSPB1', 'HSPB8']","['FABP1', 'PI3', 'PIGR', 'FCGBP', 'AGR2', 'TSPAN1', 'MUC2', 'JCHAIN', 'OLFM4', 'F3', 'CLCA1', 'MMP12', 'SPINK4', 'SELENOP', 'APOBR', 'CXCL14', 'CEACAM7', 'CA2', 'KRT20', 'TFF3', 'SLC26A3', 'PLAUR', 'ZFP36', 'SGK1', 'CXCL8', 'ZG16', 'DUOX2', 'S100A9', 'KLF4', 'DMBT1']"
MFAP2,"['COL1A1', 'COL1A2', 'COL3A1', 'SPARC', 'MMP2', 'LUM', 'COL5A1', 'THBS2', 'AEBP1', 'SFRP4', 'TIMP3', 'COL6A3', 'DCN', 'CTHRC1', 'VCAN', 'COL6A2', 'TIMP2', 'IGFBP3', 'VIM', 'COL11A1', 'COL5A2', 'COL12A1', 'MMP11', 'LGALS1', 'ELN', 'FBLN1', 'HTRA1', 'C1S', 'THY1', 'ADAM12']","['LCN2', 'FCGBP', 'FABP1', 'PI3', 'MUC2', 'DES', 'AGR2', 'OLFM4', 'CLCA1', 'TSPAN1', 'SPINK4', 'PLA2G2A', 'CKB', 'JCHAIN', 'CA2', 'SLC26A3', 'TFF3', 'CEACAM7', 'KRT20', 'ZG16', 'MYH11', 'DUOX2', 'ITLN1', 'REG4', 'MS4A12', 'DMBT1', 'PLAC8', 'PARM1', 'KLF4', 'SOD2']"
PADI2,"['PIGR', 'FCGBP', 'MUC2', 'CA2', 'CLCA1', 'ZG16', 'AGR2', 'TSPAN1', 'TFF3', 'SLC26A3', 'CA1', 'KRT20', 'SPINK4', 'MT2A', 'PLA2G2A', 'REG4', 'SELENOP', 'MT1G', 'MT1X', 'MT1H', 'ITLN1', 'PARM1', 'MS4A12', 'CEACAM7', 'CA4', 'GUCA2A', 'MT1F', 'LCN2', 'KLF4', 'MEP1A']","['COL1A1', 'SPARC', 'COL1A2', 'TAGLN', 'VIM', 'TIMP3', 'FN1', 'MMP2', 'CALD1', 'LUM', 'TIMP1', 'IGFBP7', 'COL6A3', 'MYL9', 'LGALS1', 'COL5A1', 'ACTN1', 'COL6A2', 'DES', 'THBS2', 'TPM2', 'AEBP1', 'MGP', 'C1S', 'THY1', 'C1R', 'FLNA', 'DCN', 'ACTA2', 'CCN2']"
PADI3,"['PSD', 'LMCD1', 'OR5H14', 'SLC8A1', 'SLC15A3', 'TNS1', 'CALD1', 'PDGFC', 'APOE', 'STAT2', 'CDH2', 'OLFML1', 'LUM', 'ZEB2', 'CHIT1', 'IL1R1', 'SPON1', 'DOCK11', 'ECRG4', 'PRELP', 'TSHZ2', 'SYNE3', 'SEPTIN4', 'ITSN1', 'PACS1', 'ADAM23', 'FABP4', 'PRAF2', 'ACSL1', 'CD68']","['MYL9', 'MGP', 'PI3', 'RHOB', 'TGFBI', 'HSPB1', 'PEA15', 'DUSP1', 'LYZ', 'COL5A1', 'CSRP1', 'SAMHD1', 'ACTA2', 'MMP14', 'PJA2', 'TNIP1', 'CRIP1', 'THBS2', 'OLFM4', 'COL12A1', 'SELENOP', 'SFRP4', 'PAM', 'BNIP2', 'ZFP36', 'SOCS3', 'TRIM8', 'ZYX', 'NEK7', 'AHNAK']"
PADI4,"['S100A8', 'S100A9', 'OSM', 'FPR1', 'SRGN', 'FPR2', 'CXCL8', 'PIK3CD', 'SELL', 'NCF2', 'IL1B', 'SERPINA1', 'FFAR2', 'EGR3', 'CSF3R', 'RGS2', 'AQP9', 'PLEK', 'G0S2', 'GDF10', 'VNN2', 'NAMPT', 'MEFV', 'CCL4', 'IL1A', 'IL1RN', 'TREM1', 'CD53', 'RAC2', 'PTGS2']","['TPM1', 'MYL9', 'IGFBP4', 'MXRA7', 'LUM', 'SFRP4', 'COL1A1', 'PI3', 'TIMP3', 'PPP1R12B', 'TGFBR1', 'RHOB', 'LCN2', 'SMTN', 'SYNPO2', 'ACTG2', 'COL3A1', 'DES', 'RAB27A', 'EFEMP1', 'STAT5B', 'AEBP1', 'GSN', 'TAGLN', 'LPP', 'ELN', 'THBS2', 'PLA2G2A', 'SORBS2', 'CCDC80']"
CAPZB,"['COL3A1', 'COL1A1', 'VIM', 'SPARC', 'COL1A2', 'CD74', 'MMP12', 'LGALS1', 'COL5A1', 'IFI30', 'IGFBP7', 'CTSB', 'LYZ', 'MMP2', 'COL4A1', 'LUM', 'C1QC', 'COL6A3', 'COL6A2', 'PSAP', 'TIMP2', 'DCN', 'F3', 'SRGN', 'TIMP1', 'CALD1', 'COL6A1', 'C1QA', 'C1QB', 'TAGLN']","['FABP1', 'HBB', 'PCP4', 'SORBS2', 'C7', 'G0S2', 'MARCOL', 'APOD', 'IGFN1', 'GAP43', 'KIZ', 'LONRF2', 'KRT24', 'PLA2G2C', 'SEMA3E', 'CHGB', 'TREM1', 'XKR4', 'CCDC9B', 'C16orf89', 'DYNC1I1', 'DTNA', 'AOC3', 'NAP1L3', 'FAM228B', 'OR5AU1', 'AHSP', 'RYR3', 'NLGN1', 'ACTC1']"
NBL1,"['COL1A1', 'COL3A1', 'COL1A2', 'SPARC', 'MMP2', 'LUM', 'SFRP4', 'AEBP1', 'THBS2', 'COL5A1', 'DCN', 'COL6A3', 'TIMP2', 'IGFBP3', 'TIMP3', 'CTHRC1', 'COMP', 'COL6A2', 'VCAN', 'ELN', 'ANTXR1', 'COL11A1', 'C1S', 'GREM1', 'COL5A2', 'FBLN1', 'TAGLN', 'VIM', 'LGALS1', 'COL12A1']","['FABP1', 'CXCL8', 'SORBS2', 'S100A9', 'S100A8', 'PECAM1', 'VWF', 'PCP4', 'JCHAIN', 'HBB', 'G0S2', 'SOD2', 'IL1B', 'IL1RN', 'BCL2A1', 'SLCO2A1', 'SYNM', 'PLEK', 'SELL', 'PDE4B', 'PLVAP', 'SPP1', 'AQP1', 'SRGN', 'AQP9', 'CSF3R', 'ESAM', 'KIZ', 'CKB', 'MZB1']"
PLA2G2A,"['PIGR', 'FCGBP', 'MUC2', 'OLFM4', 'AGR2', 'CLCA1', 'SPINK4', 'CA2', 'TFF3', 'LCN2', 'REG4', 'ITLN1', 'DMBT1', 'TSPAN1', 'ZG16', 'REG1A', 'PARM1', 'PADI2', 'DUOX2', 'KRT20', 'SELENOP', 'KLF4', 'APOBR', 'MT2A', 'MT1X', 'ATP2A3', 'MT1G', 'C1orf21', 'CA1', 'PLAC8']","['COL1A1', 'VIM', 'COL3A1', 'TIMP3', 'COL1A2', 'COL5A1', 'LGALS1', 'MMP12', 'IGFBP7', 'FN1', 'IGFBP3', 'THBS1', 'COL4A1', 'SRGN', 'ARHGDIB', 'CCN2', 'AEBP1', 'INHBA', 'LUM', 'MMP11', 'IFI30', 'ENG', 'CXCL14', 'NOTCH3', 'COL5A2', 'MSN', 'DKK3', 'CTHRC1', 'COL12A1', 'BGN']"
PLA2G5,"['TAGLN', 'DES', 'ACTG2', 'MYH11', 'MYL9', 'CSRP1', 'MYLK', 'CNN1', 'CALD1', 'FLNA', 'PPP1R12B', 'SYNPO2', 'TPM2', 'TPM1', 'CHRDL2', 'SYNM', 'TNC', 'SMTN', 'ACTA2', 'COL6A2', 'HSPB7', 'PRUNE2', 'LMOD1', 'PLN', 'KCNMA1', 'TACR2', 'HSPB8', 'COL3A1', 'FLNC', 'SORBS1']","['FABP1', 'PI3', 'PIGR', 'AGR2', 'FCGBP', 'MUC2', 'TSPAN1', 'OLFM4', 'SLC26A3', 'CEACAM7', 'JCHAIN', 'S100A9', 'DUOX2', 'KRT20', 'CLCA1', 'TFF3', 'SPINK4', 'ZG16', 'BTG1', 'DMBT1', 'MMP12', 'APOBR', 'SOCS3', 'MS4A12', 'SGK1', 'PLAC8', 'ITLN1', 'CXCL8', 'MT1G', 'SRGN']"
PLA2G2C,"['SNCB', 'PPBP', 'SHISAL1', 'DES', 'CSRP1', 'LYST', 'TAGLN', 'LMOD1', 'MYH11', 'MYL9', 'CHIT1', 'CNN1', 'ACTG2', 'MYLK', 'SSBP2', 'PRUNE2', 'LYZL2', 'DMD', 'FAM124A', 'PTGS1', 'FGR', 'CACNA1H', 'TPM2', 'KCNMB1', 'CD163', 'ARHGEF25', 'FHL1', 'MORN5', 'TNS1', 'ATRNL1']","['LCN2', 'LITAF', 'NFIX', 'PLAUR', 'CMTM3', 'MAP4K4', 'THBS1', 'PLEKHM2', 'BACH1', 'CAPZB', 'KLF4', 'LOXL2', 'CTDSP1', 'COL5A2', 'MMP2', 'CRIM1', 'PAM', 'PEA15', 'IFITM2', 'TSPAN1', 'VWF', 'PPP3CB', 'ADAM19', 'PXDN', 'ARHGDIB', 'CERCAM', 'ARL4C', 'RCN3', 'ENTPD1', 'WDFY1']"
