,Top_positvely_correlated,Top_negatively_correlated
DUSP5,"['JCHAIN', 'F3', 'CLCA4', 'VIM', 'IGKC', 'DUOX2', 'IGHA1', 'ANXA1', 'COL4A1', 'MUC3A', 'DUSP1', 'RGS1', 'CD74', 'COL3A1', 'CCN2', 'SRGN', 'COL1A1', 'CD55', 'PLAU', 'MMP12', 'IGFBP7', 'LGALS1', 'MZB1', 'COL4A2', 'SPARC', 'CCN1', 'TSPAN1', 'IGHG1', 'IGHM', 'COL1A2']","['PCP4', 'DES', 'CLCA1', 'CKB', 'SPINK4', 'SORBS2', 'PGM5', 'OLFM4', 'MYH11', 'AGR2', 'SLMAP', 'FAM83D', 'KIZ', 'NFIX', 'ITLN1', 'MT1G', 'PLA2G2A', 'SYNM', 'REG1A', 'MT1F', 'HSPB6', 'CCDC9B', 'SORBS1', 'PRUNE2', 'SYNPO2', 'MT1X', 'DMBT1', 'PLN', 'RAB23', 'NCS1']"
RBM20,"['DES', 'MYL9', 'MYLK', 'TAGLN', 'SLC2A4', 'MYH11', 'ACTG2', 'SMTN', 'ARHGEF4', 'ITGA7', 'FGF2', 'DDR2', 'SPARCL1', 'FLNA', 'SYNM', 'CSRP1', 'LYVE1', 'TPM2', 'ZEB1', 'PPP1R12B', 'ACTA2', 'MYO1F', 'VSTM4', 'CLU', 'AKAP12', 'CALD1', 'CNN1', 'SYNPO2', 'HSPA2', 'SOBP']","['PI3', 'LCN2', 'CNN2', 'FCGBP', 'MUC2', 'SELENOP', 'IFI30', 'LITAF', 'LCP1', 'CLCA1', 'PLD3', 'TSPAN1', 'CD68', 'THY1', 'PPFIBP1', 'LAPTM5', 'CDH11', 'PIGR', 'SLC26A3', 'RUNX1', 'SPINK4', 'TNFAIP3', 'IGFBP3', 'CEACAM7', 'ANXA5', 'SH3PXD2B', 'COMP', 'MMP12', 'CXCL14', 'MT1X']"
ADRB1,"['LCE2C', 'KCNIP3', 'CRTAC1', 'TLL1', 'GPC3', 'LDLRAD4', 'TTN', 'GREM2', 'CPE', 'CALCRL', 'TTLL7', 'TNXB', 'FCGR3B', 'SLCO2A1', 'CLIC2', 'TMOD2', 'A2M', 'APLNR', 'MMRN2', 'HBA2', 'AQP1', 'CFH', 'VEGFC', 'NEXMIF', 'SORBS1', 'EGFL7', 'PRKCH', 'ROCK1', 'KLF2', 'AKNA']","['COL3A1', 'FABP1', 'LUM', 'CKB', 'MMP2', 'MMP14', 'CTSK', 'THBS2', 'COL5A1', 'CDH11', 'SPARC', 'F3', 'IGFBP3', 'RSU1', 'ZMYND11', 'VCAN', 'COL5A2', 'REEP3', 'TGFBR1', 'SFRP4', 'ZMIZ1', 'MMP12', 'IL7R', 'CERCAM', 'COL12A1', 'CALU', 'PPIC', 'FBLN1', 'ISLR', 'OGFRL1']"
ATRNL1,"['DES', 'MYH11', 'TAGLN', 'ACTG2', 'MYL9', 'SYNPO2', 'CSRP1', 'CNN1', 'TPM2', 'MYLK', 'SYNM', 'PPP1R12B', 'CALD1', 'SORBS1', 'TPM1', 'FLNA', 'LMOD1', 'SMTN', 'MAB21L2', 'ACTA2', 'PLN', 'TNC', 'TNS1', 'CHRDL2', 'CRYAB', 'KCNMA1', 'PALLD', 'FLNC', 'PRUNE2', 'AKAP12']","['LCN2', 'PIGR', 'PI3', 'FCGBP', 'TSPAN1', 'MUC2', 'OLFM4', 'AGR2', 'CLCA1', 'SLC26A3', 'CD55', 'SPINK4', 'KRT20', 'CA2', 'DUOX2', 'TFF3', 'APOBR', 'JCHAIN', 'SFRP4', 'MS4A12', 'EMP1', 'DOCK5', 'CRIP1', 'CEACAM7', 'REG4', 'PLAUR', 'DMBT1', 'MT1G', 'S100A9', 'COL11A1']"
PNLIP,"['APOA4', 'HBM', 'NXPH2', 'KRT24', 'LAMA2', 'SPINK7', 'RSPO1', 'BHLHE41', 'VAV1', 'SGCA', 'LRRK2', 'STOM', 'AP1S2', 'CHST3', 'BEND5', 'GPX8', 'TMEM140', 'NFATC2', 'PLAC9', 'HSPB2', 'CD99L2', 'CXCL12', 'TFPI', 'HBA2', 'DGKB', 'MYL9', 'KANK2', 'SPECC1', 'FCGR2A', 'FOLR2']","['FABP1', 'CKB', 'EHBP1L1', 'SAMHD1', 'PI3', 'MMP12', 'AGR2', 'RAB13', 'RUNX1', 'REEP3', 'ARHGEF1', 'JCHAIN', 'IDS', 'CCN1', 'LPP', 'SOCS3', 'MYO9B', 'LTBP1', 'ACTN1', 'RGS1', 'LDB1', 'ISG15', 'GABARAP', 'RCN3', 'PEA15', 'MMP14', 'MICALL2', 'PRNP', 'KIZ', 'HTRA3']"
KCNK18,"['C1orf162', 'BTG1', 'CLEC2B', 'CAV2', 'ADGRG6', 'GASK1B', 'SERPINB3', 'SLA', 'VCAN', 'SLC34A1', 'MT2A', 'STK17A', 'CCK', 'PECAM1', 'GSN', 'GNAL', 'CDH11', 'PAFAH1B1', 'MUC3A', 'CDC42BPA', 'VWF', 'LRRC15', 'MRAS', 'LCN2', 'JCHAIN', 'TNFAIP2', 'IFI16', 'CCDC178', 'TAB2', 'CELF2']","['CKB', 'ACTG2', 'FLNA', 'ZFP36', 'C1S', 'PI3', 'C12orf57', 'MGP', 'WSB1', 'SULF1', 'EHBP1L1', 'OLFM4', 'NFIX', 'DES', 'GREM1', 'LUM', 'TIMP3', 'TPM2', 'RRAS', 'MAN1A1', 'SLC26A3', 'FSTL1', 'CCPG1', 'BNIP2', 'SPINK4', 'CMTM3', 'ACTA2', 'PDE4D', 'KIF1C', 'LPP']"
PRLHR,"['PNCK', 'ANGPTL1', 'FOXP1', 'STX12', 'SAMSN1', 'SCG2', 'LYZ', 'GUK1', 'SAMD9', 'CYBB', 'EFEMP1', 'ZNF385A', 'EHBP1L1', 'ZEB2', 'GPR34', 'FSTL1', 'CSF2RB', 'ZMIZ1', 'IL1RN', 'PRRX1', 'COTL1', 'GPX3', 'SELPLG', 'C2orf74', 'CD209', 'VSIG4', 'ABI3BP', 'SRGN', 'LPAR1', 'RIPOR1']","['FABP1', 'ACTN1', 'MYL9', 'MMP2', 'TIMP3', 'TIMP1', 'MYL6', 'A2M', 'LCN2', 'COL5A1', 'DES', 'THBS1', 'LUM', 'CSRP1', 'HSPB1', 'SOD2', 'ACTA2', 'CKB', 'IGHG1', 'ACTG2', 'JCHAIN', 'CALU', 'PI3', 'OPTN', 'EID1', 'AGR2', 'AEBP1', 'MYH11', 'C4orf3', 'DST']"
GRK5,"['VIM', 'A2M', 'COL4A1', 'IGFBP7', 'COL3A1', 'RGS5', 'IGKC', 'PECAM1', 'COL18A1', 'JCHAIN', 'COL6A2', 'ENG', 'COL4A2', 'VWF', 'SPARC', 'NOTCH3', 'EPAS1', 'LGALS1', 'F3', 'CD74', 'COL1A1', 'COL6A3', 'ADAMTS1', 'COL1A2', 'COL6A1', 'C11orf96', 'PLXND1', 'AQP1', 'ADAMDEC1', 'PLVAP']","['LCN2', 'PI3', 'CKB', 'CEACAM7', 'AGR2', 'SLC26A3', 'KRT20', 'PIGR', 'MS4A12', 'TSPAN1', 'DUOX2', 'FCGBP', 'SORBS2', 'PCP4', 'CLCA1', 'MUC2', 'ZG16', 'PLAC8', 'MEP1A', 'CLCA4', 'DMBT1', 'CD177', 'MT1X', 'MT1F', 'GUCA2A', 'TFF3', 'SPP1', 'REG4', 'CA4', 'C2orf88']"
RGS10,"['CD74', 'C1QC', 'VIM', 'LYZ', 'IFI30', 'CTSB', 'C1QB', 'PSAP', 'MMP12', 'COL3A1', 'CD4', 'SRGN', 'LAPTM5', 'C1QA', 'FCER1G', 'CD68', 'APOE', 'MPEG1', 'AIF1', 'MS4A6A', 'LGALS1', 'TYROBP', 'COL1A1', 'CTSC', 'LCP1', 'MMP9', 'CXCL14', 'RGS1', 'F3', 'SPARC']","['FABP1', 'PIGR', 'PI3', 'AGR2', 'FCGBP', 'TSPAN1', 'MUC2', 'PLA2G2A', 'CEACAM7', 'CLCA1', 'DUOX2', 'CKB', 'TFF3', 'SLC26A3', 'ZG16', 'OLFM4', 'SPINK4', 'KRT20', 'DMBT1', 'CA2', 'CLCA4', 'PCP4', 'ITLN1', 'REG4', 'MS4A12', 'CA1', 'KLF4', 'CA4', 'GUCA2A', 'SORBS2']"
PLPP4,"['COL1A1', 'COL1A2', 'COL3A1', 'SPARC', 'MMP2', 'LUM', 'SFRP4', 'THBS2', 'AEBP1', 'COL5A1', 'TIMP3', 'CTHRC1', 'COL11A1', 'COL6A3', 'DCN', 'TIMP2', 'ADAM12', 'COMP', 'VCAN', 'ELN', 'COL6A2', 'COL12A1', 'IGFBP3', 'COL5A2', 'ITGA11', 'INHBA', 'ANTXR1', 'LGALS1', 'HTRA1', 'SULF1']","['FABP1', 'PIGR', 'PI3', 'FCGBP', 'CKB', 'SOD2', 'TSPAN1', 'AGR2', 'MUC2', 'PLA2G2A', 'OLFM4', 'JCHAIN', 'CLCA1', 'CA2', 'DES', 'SLC26A3', 'CEACAM7', 'SELENOP', 'SPINK4', 'KRT20', 'SORBS2', 'TFF3', 'KLF4', 'RGS5', 'PCP4', 'DUOX2', 'IGKC', 'ZG16', 'MS4A12', 'MT1X']"
FGFR2,"['DES', 'MYH11', 'ACTG2', 'MYLK', 'MYL9', 'TAGLN', 'CSRP1', 'SYNPO2', 'SYNM', 'CNN1', 'TPM2', 'CHRDL2', 'PPP1R12B', 'TPM1', 'PRUNE2', 'SMTN', 'TACR2', 'PLN', 'FLNA', 'SORBS1', 'CALD1', 'TNC', 'LMOD1', 'MAB21L2', 'MARCOL', 'KCNMA1', 'TNS1', 'FLNC', 'LIMS2', 'HSPB7']","['COL1A1', 'MMP12', 'COL1A2', 'TIMP3', 'MMP2', 'FABP1', 'IFI30', 'NOTCH3', 'VIM', 'THY1', 'LUM', 'CD55', 'BGN', 'CXCL14', 'ENG', 'IGFBP3', 'PLAUR', 'THBS2', 'SOCS3', 'COL5A1', 'MMP11', 'LITAF', 'MMP14', 'S100A9', 'TIMP1', 'SFRP4', 'PDGFRB', 'COL12A1', 'F3', 'ARHGDIB']"
HTRA1,"['COL3A1', 'COL1A1', 'COL1A2', 'MMP2', 'SPARC', 'LUM', 'SFRP4', 'AEBP1', 'THBS2', 'COL5A1', 'VIM', 'DCN', 'COL6A3', 'COL6A2', 'TIMP2', 'CTHRC1', 'VCAN', 'IGFBP7', 'TIMP3', 'FBLN1', 'SFRP2', 'C1S', 'COL5A2', 'LGALS1', 'IGFBP3', 'ELN', 'MGP', 'C1R', 'C3', 'COL11A1']","['FABP1', 'PIGR', 'PI3', 'FCGBP', 'AGR2', 'TSPAN1', 'CKB', 'MUC2', 'OLFM4', 'CLCA1', 'SLC26A3', 'SPINK4', 'KRT20', 'CEACAM7', 'TFF3', 'CA2', 'DUOX2', 'MS4A12', 'PCP4', 'ZG16', 'REG4', 'ITLN1', 'DMBT1', 'PLAC8', 'JCHAIN', 'SOD2', 'CXCL8', 'MT1G', 'APOBR', 'SORBS2']"
DMBT1,"['OLFM4', 'PIGR', 'REG1A', 'LCN2', 'REG1B', 'FCGBP', 'AGR2', 'DUOX2', 'SPINK4', 'MUC2', 'PLA2G2A', 'CLCA1', 'PI3', 'ITLN1', 'REG4', 'TFF3', 'TSPAN1', 'PARM1', 'CA2', 'CD55', 'APOBR', 'PLAC8', 'KLF4', 'SERPINA1', 'ATP2A3', 'KRT20', 'SELENOP', 'MTUS1', 'C1orf21', 'SERPINB6']","['VIM', 'COL1A1', 'SPARC', 'COL1A2', 'TAGLN', 'CALD1', 'IGFBP7', 'MYL9', 'LGALS1', 'COL6A2', 'MMP2', 'LUM', 'FN1', 'COL5A1', 'TIMP3', 'COL6A3', 'DES', 'TPM2', 'MGP', 'FLNA', 'A2M', 'DCN', 'TIMP2', 'AEBP1', 'C1S', 'COL6A1', 'ACTA2', 'VCAN', 'COL4A1', 'IGHG1']"
CPXM2,"['DES', 'TAGLN', 'MYH11', 'ACTG2', 'MYL9', 'CSRP1', 'CNN1', 'MYLK', 'TPM2', 'SYNPO2', 'FLNA', 'PLN', 'SYNM', 'CALD1', 'TPM1', 'PPP1R12B', 'CHRDL2', 'SPARCL1', 'SORBS1', 'SMTN', 'PRUNE2', 'ITGA5', 'ACTA2', 'TNC', 'A2M', 'TNS1', 'HSPA2', 'LMOD1', 'ATP2B4', 'LIMS2']","['LCN2', 'PI3', 'PIGR', 'FCGBP', 'TSPAN1', 'AGR2', 'MUC2', 'OLFM4', 'SLC26A3', 'CXCL14', 'F3', 'CEACAM7', 'CLCA1', 'MMP12', 'IFI30', 'JCHAIN', 'CA2', 'SPINK4', 'KRT20', 'MS4A12', 'DUOX2', 'APOBR', 'PLAUR', 'DMBT1', 'SELENOP', 'MT1X', 'TFF3', 'CXCL8', 'IL1B', 'LITAF']"
CHST15,"['IGKC', 'JCHAIN', 'IGHG1', 'VIM', 'CD74', 'IGHA1', 'SRGN', 'MZB1', 'LYZ', 'A2M', 'F3', 'COL4A1', 'PLAU', 'COL3A1', 'IGLC1', 'IFI30', 'MMP12', 'IGHM', 'LGALS1', 'CTSB', 'IGHG3', 'IGFBP7', 'C1QB', 'PECAM1', 'COL6A2', 'C1QC', 'PSAP', 'COL1A1', 'SPI1', 'COL6A1']","['LCN2', 'PIGR', 'PI3', 'FCGBP', 'TSPAN1', 'AGR2', 'CKB', 'CLCA1', 'CEACAM7', 'MUC2', 'OLFM4', 'SLC26A3', 'KRT20', 'ZG16', 'DUOX2', 'SPINK4', 'PCP4', 'ITLN1', 'DMBT1', 'MS4A12', 'TFF3', 'MT1X', 'MT1F', 'MT1G', 'NFIX', 'PLAC8', 'CA2', 'CLCA4', 'REG4', 'CA1']"
NKX1-2,"['SLC2A4', 'SNCG', 'CD109', 'NR4A3', 'COL16A1', 'FRY', 'GLIPR1', 'COL14A1', 'ZCCHC24', 'DUSP5', 'CTSK', 'FGF7', 'NPR1', 'ATXN1', 'PALLD', 'PDE5A', 'SYDE1', 'APOL2', 'PARM1', 'ABCC4', 'NAMPT', 'C1orf198', 'ENTPD1', 'UGCG', 'LAYN', 'MYADM', 'SYNPO2', 'EHD2', 'ARHGEF17', 'PKD2']","['CD74', 'CALU', 'TAGLN', 'MYL6', 'IGHG1', 'PI3', 'CTSB', 'NBL1', 'JCHAIN', 'ZYX', 'TIMP2', 'SRGN', 'FABP1', 'C1QC', 'ST5', 'MSN', 'TGFBR1', 'SOCS3', 'LUM', 'TPP1', 'STK38L', 'MYL9', 'PLD3', 'THY1', 'BST2', 'TNC', 'GSN', 'IGFBP4', 'MBNL1', 'ACTG2']"
ADAM12,"['COL1A1', 'COL1A2', 'COL3A1', 'SPARC', 'LUM', 'MMP2', 'THBS2', 'SFRP4', 'COL5A1', 'AEBP1', 'TIMP3', 'COL6A3', 'CTHRC1', 'DCN', 'COL11A1', 'COL5A2', 'VCAN', 'ELN', 'COL6A2', 'IGFBP3', 'TIMP2', 'COL12A1', 'COMP', 'FN1', 'THY1', 'ITGA11', 'VIM', 'LGALS1', 'SULF1', 'HTRA1']","['FABP1', 'PIGR', 'PI3', 'FCGBP', 'CKB', 'AGR2', 'TSPAN1', 'MUC2', 'OLFM4', 'DES', 'CLCA1', 'PCP4', 'SOD2', 'SLC26A3', 'PLA2G2A', 'CEACAM7', 'CA2', 'KRT20', 'JCHAIN', 'SPINK4', 'TFF3', 'SORBS2', 'DUOX2', 'MS4A12', 'ZG16', 'DMBT1', 'KLF4', 'PLAC8', 'SELENOP', 'ITLN1']"
FOXI2,"['C8orf88', 'UBE2E2', 'NUMBL', 'ALOX5AP', 'STK10', 'JDP2', 'CCDC69', 'ST6GALNAC6', 'LGI1', 'S100A9', 'CFAP126', 'TAGLN', 'TNFSF14', 'LIMD2', 'IGKC', 'OMG', 'MMP28', 'ACTG2', 'SCARF1', 'SYNE1', 'COL1A2', 'DDX60', 'RUNX1', 'PLPP4', 'FRMD6', 'CTHRC1', 'RUNX1T1', 'APOL3', 'JCHAIN', 'THBS4']","['ACTN1', 'SOD2', 'CSRP1', 'VIM', 'SRGN', 'EHBP1L1', 'TPM2', 'SPARC', 'FLNA', 'COL4A1', 'MSN', 'IGFBP7', 'DES', 'ACTA2', 'DCN', 'PPP1R12B', 'RHOB', 'CKB', 'LGALS1', 'ZFP36', 'IGFBP4', 'CRIP1', 'MYLK', 'TACC1', 'IGFBP5', 'MYH11', 'CTSB', 'CD55', 'CALD1', 'TIMP3']"
INPP5A,"['TAGLN', 'MYL9', 'ACTG2', 'DES', 'MYH11', 'MYLK', 'CSRP1', 'TPM1', 'THEG', 'COL4A2', 'COL4A1', 'A2M', 'FLNA', 'ACTA2', 'CNN1', 'RGS5', 'TPM2', 'NOTCH3', 'SYNPO2', 'MCAM', 'SMTN', 'ITGA7', 'SPARCL1', 'CALD1', 'IGFBP7', 'KCNMA1', 'PPP1R12B', 'RBPMS', 'LMOD1', 'COL18A1']","['JCHAIN', 'IGHG1', 'IGHA1', 'MZB1', 'LYZ', 'TRAC', 'CD74', 'HBA2', 'IGHM', 'IFI30', 'SFRP4', 'C1QC', 'APOE', 'MS4A6A', 'CD68', 'SPP1', 'MMP12', 'HBB', 'IL10RA', 'CFD', 'CD52', 'RASSF4', 'IGHG3', 'THEMIS2', 'SFRP2', 'S100A9', 'PIK3CD', 'CD2', 'ADAMDEC1', 'ARHGAP30']"
NKX6-2,"['SLC11A1', 'CACNA1C', 'ADGRG6', 'IGHM', 'ADAMTSL4', 'HSPG2', 'ADAMTS9', 'POPDC2', 'KCTD15', 'NFATC4', 'ADAMTS10', 'CD96', 'KLF2', 'ZBTB20', 'OLR1', 'SERPINE1', 'NUMBL', 'PCSK5', 'MAP3K7CL', 'PKD2', 'TBC1D10C', 'TEK', 'ARHGEF17', 'CUEDC1', 'VWF', 'THBS3', 'NOTCH2', 'EGR3', 'STX12', 'IFIT2']","['COL6A2', 'IGFBP7', 'MMP2', 'COL1A1', 'CSRP1', 'SELENOP', 'LUM', 'COL6A3', 'CD74', 'TPM2', 'CALD1', 'TAGLN', 'PIGR', 'TPM1', 'DES', 'COL6A1', 'CAPN2', 'IFI30', 'EHBP1L1', 'SPARC', 'MGP', 'ACTG2', 'HSPB1', 'IGFBP4', 'CRIP1', 'MYLK', 'ACTN1', 'C1R', 'TGFBI', 'COL4A2']"
ADAM8,"['SRGN', 'MMP12', 'S100A9', 'S100A8', 'LYZ', 'IFI30', 'CD74', 'CXCL8', 'LCP1', 'SPI1', 'CTSB', 'MMP9', 'VIM', 'G0S2', 'LSP1', 'IL1B', 'IL1RN', 'BCL2A1', 'TRAC', 'LAPTM5', 'LCP2', 'IL7R', 'FCER1G', 'CD53', 'ITGAX', 'PTGS2', 'AQP9', 'PSAP', 'ZIC3', 'IKZF1']","['PIGR', 'LCN2', 'FCGBP', 'AGR2', 'MUC2', 'CLCA1', 'PLA2G2A', 'CKB', 'DES', 'SORBS2', 'MYH11', 'PCP4', 'TSPAN1', 'SPINK4', 'SLC26A3', 'TFF3', 'ACTG2', 'OLFM4', 'CEACAM7', 'KRT20', 'PPP1R12B', 'ZG16', 'SORBS1', 'MS4A12', 'TPM1', 'LPP', 'DUOX2', 'SMTN', 'ITLN1', 'GUCA2A']"
CALY,"['GAP43', 'PTPRN', 'L1CAM', 'SST', 'TAC1', 'CREM', 'PLAT', 'PTPRC', 'CHST11', 'TLR1', 'TRIM22', 'PRPH', 'VIP', 'CXCL9', 'SCG2', 'NSG2', 'ARHGAP29', 'TNFAIP3', 'DEPP1', 'IL10RA', 'THEMIS2', 'IKZF1', 'C12orf57', 'FXYD6', 'PLA2G2A', 'TUBB2B', 'IDS', 'SNCA', 'SLC12A4', 'MAMDC2']","['CALD1', 'CTSB', 'SOD2', 'IGKC', 'COL5A1', 'COL6A3', 'TPM4', 'COL1A1', 'CALU', 'C1R', 'MYL6', 'ACTN1', 'DCN', 'IGFBP7', 'CCN2', 'MYH11', 'ZYX', 'TGFBI', 'LCN2', 'ST5', 'A2M', 'SOCS3', 'VCAN', 'SPARC', 'FABP1', 'COL6A1', 'COL4A1', 'THBS2', 'IGFBP3', 'MXRA7']"
IFITM2,"['S100A9', 'S100A8', 'SRGN', 'CXCL8', 'VIM', 'IL1B', 'G0S2', 'OSM', 'IL1RN', 'PECAM1', 'PLEK', 'IGFBP7', 'VWF', 'SELL', 'CSF3R', 'SOD2', 'COL4A1', 'ENG', 'NAMPT', 'BCL2A1', 'A2M', 'EPAS1', 'SOCS3', 'PLVAP', 'MNDA', 'PTGS2', 'AQP1', 'AQP9', 'RGS5', 'DUSP1']","['FCGBP', 'MUC2', 'AGR2', 'DES', 'TSPAN1', 'CLCA1', 'FABP1', 'ZG16', 'SLC26A3', 'CA2', 'KRT20', 'TFF3', 'GUCA2A', 'SPINK4', 'CA4', 'MYH11', 'MS4A12', 'MT1X', 'MT1F', 'CA1', 'MT1G', 'SORBS2', 'REG4', 'ITLN1', 'CLCA4', 'MEP1A', 'C2orf88', 'CEACAM7', 'DUOX2', 'ACTG2']"
TSPAN4,"['COL3A1', 'COL1A1', 'COL1A2', 'SPARC', 'VIM', 'LUM', 'MMP2', 'CD74', 'COL5A1', 'COL6A2', 'COL6A3', 'IGFBP7', 'DCN', 'AEBP1', 'CTSB', 'THBS2', 'VCAN', 'LGALS1', 'TIMP2', 'C1S', 'C1QC', 'SFRP4', 'TIMP1', 'C1QA', 'C1R', 'FSTL1', 'MMP12', 'IGFBP3', 'COL6A1', 'COL5A2']","['LCN2', 'PIGR', 'PI3', 'FCGBP', 'AGR2', 'CKB', 'OLFM4', 'TSPAN1', 'MUC2', 'CLCA1', 'CEACAM7', 'SPINK4', 'KRT20', 'SLC26A3', 'TFF3', 'MS4A12', 'DUOX2', 'DMBT1', 'CA2', 'MT1X', 'ITLN1', 'ZG16', 'REG4', 'PLAC8', 'PCP4', 'MT1G', 'SORBS2', 'GUCA2A', 'PLA2G2A', 'PGM5']"
MUC2,"['FCGBP', 'PIGR', 'CLCA1', 'SPINK4', 'AGR2', 'TFF3', 'OLFM4', 'REG4', 'ZG16', 'ITLN1', 'TSPAN1', 'CA2', 'PLA2G2A', 'KRT20', 'LCN2', 'SLC26A3', 'SELENOP', 'PARM1', 'PADI2', 'KLF4', 'MT2A', 'DUOX2', 'CA1', 'DMBT1', 'CEACAM7', 'REG1A', 'APOBR', 'MT1G', 'MT1X', 'CA4']","['COL1A1', 'VIM', 'SPARC', 'COL1A2', 'TAGLN', 'CALD1', 'LGALS1', 'IGFBP7', 'TIMP3', 'FN1', 'MMP2', 'MYL9', 'LUM', 'TIMP1', 'COL5A1', 'COL6A2', 'COL6A3', 'TPM2', 'COL4A1', 'MGP', 'DCN', 'AEBP1', 'FLNA', 'THBS1', 'ACTA2', 'VCAN', 'C1S', 'C1R', 'DES', 'TIMP2']"
KRTAP5-2,"['ZIM2', 'ADAMTS2', 'TNFAIP8L3', 'LY96', 'CTSO', 'BCL2A1', 'HBB', 'VCAM1', 'CIITA', 'KATNAL1', 'CDH5', 'TNFSF12', 'NACC2', 'PALM', 'ZEB2', 'PLEKHO2', 'DUOX2', 'VWF', 'TSC22D3', 'TREM1', 'TP53INP2', 'CA4', 'SEPTIN11', 'SLCO2A1', 'PREX2', 'LYST', 'FGD5', 'LRRFIP1', 'PKD2', 'NOTCH2']","['HSPB1', 'ACTN1', 'AHNAK', 'CD74', 'SPARC', 'MYL9', 'SRGN', 'DES', 'CKB', 'THBS1', 'IFI30', 'MSN', 'MYH11', 'FLNA', 'CXCL14', 'STK38L', 'PPP1R12B', 'SFRP4', 'COL6A2', 'TIMP2', 'COL1A2', 'EID1', 'RBPMS', 'MYOF', 'CYB5R3', 'SELENOM', 'COL5A1', 'SFRP2', 'LSP1', 'IGFBP3']"
CTSD,"['APOE', 'CTSB', 'IFI30', 'MMP12', 'SPP1', 'PSAP', 'CD74', 'LYZ', 'CD68', 'C1QC', 'C1QB', 'GPNMB', 'C1QA', 'FCER1G', 'MMP9', 'LAPTM5', 'CTSL', 'LIPA', 'TYROBP', 'HMOX1', 'CD4', 'VIM', 'SRGN', 'SELENOP', 'FPR3', 'RGS1', 'PLD3', 'CTSC', 'CD14', 'CYBB']","['MYH11', 'ACTG2', 'SYNPO2', 'PCP4', 'CNN1', 'PPP1R12B', 'CSRP1', 'SYNM', 'SORBS1', 'PGM5', 'SORBS2', 'TAGLN', 'MGP', 'TPM2', 'FAM83D', 'MYL9', 'HBA2', 'RAB23', 'SLMAP', 'MYLK', 'SMTN', 'FABP1', 'CHRDL2', 'PLN', 'CKB', 'SFRP2', 'SPARCL1', 'LMOD1', 'ALDH1B1', 'TNS1']"
LSP1,"['CD74', 'SRGN', 'VIM', 'LYZ', 'LCP1', 'TRAC', 'IFI30', 'TRBC2', 'IGKC', 'JCHAIN', 'WIPF1', 'LAPTM5', 'RGS1', 'SPI1', 'IKZF1', 'CD52', 'CTSB', 'CORO1A', 'ARHGDIB', 'C1QC', 'CD2', 'MMP12', 'MPEG1', 'CCL5', 'AIF1', 'APOE', 'CD4', 'CXCR4', 'PSAP', 'LTB']","['LCN2', 'CKB', 'PIGR', 'PI3', 'AGR2', 'TSPAN1', 'PCP4', 'FCGBP', 'DES', 'MUC2', 'CLCA1', 'SORBS2', 'CEACAM7', 'KRT20', 'SLC26A3', 'SPINK4', 'MYH11', 'TFF3', 'SORBS1', 'PPP1R12B', 'DMBT1', 'PGM5', 'OLFM4', 'ZG16', 'DUOX2', 'ITLN1', 'LPP', 'NFIX', 'MS4A12', 'RAB23']"
STIM1,"['VIM', 'PIGR', 'FCGBP', 'MUC2', 'CD74', 'COL3A1', 'TRAC', 'CA2', 'COL4A1', 'LGALS1', 'IGFBP7', 'A2M', 'CLCA1', 'TSPAN1', 'SELENOP', 'LYZ', 'CD2', 'COL6A2', 'RGS5', 'COL1A1', 'COL1A2', 'COL5A1', 'SPARC', 'ZG16', 'TRBC2', 'SLC26A3', 'COL6A1', 'EVL', 'TFF3', 'CALD1']","['CXCL8', 'HBA2', 'HBB', 'G0S2', 'PGM5', 'SOD2', 'HCAR3', 'KIZ', 'PCP4', 'PDZRN4', 'PPBP', 'TREM1', 'ACSL1', 'SOX10', 'IL1A', 'S100A12', 'MORN5', 'FBXL22', 'HAND1', 'CLEC4G', 'SORBS2', 'CCDC169', 'RBFOX3', 'PLXNA4', 'DPP6', 'AOX1', 'IL1B', 'TMEM74', 'IL1RN', 'CELA3A']"
OR51S1,"['PREX2', 'C4orf3', 'BACH1', 'FGL2', 'SLCO2B1', 'CD68', 'RUNX1', 'CRIP1', 'IGFBP5', 'APOE', 'PIK3R5', 'MS4A12', 'LYVE1', 'CD74', 'MT1H', 'WAS', 'TMOD2', 'MYO1G', 'VSIG4', 'LDB1', 'CD4', 'DOCK10', 'TMEM100', 'CA2', 'ISG20', 'EMILIN2', 'EPB41L3', 'SLC26A9', 'SLFN11', 'BEX4']","['MYL9', 'SPARC', 'COL1A1', 'TAGLN', 'COL3A1', 'FN1', 'TPM1', 'EHBP1L1', 'TPM2', 'MYLK', 'MMP2', 'CSRP1', 'COL4A1', 'NBL1', 'EPAS1', 'TNC', 'LUM', 'MYH11', 'OLFM4', 'COL5A1', 'AEBP1', 'HTRA1', 'IGFBP3', 'SEPTIN11', 'PJA2', 'ACTA2', 'ACTG2', 'SULF1', 'TIMP1', 'OAZ2']"
